wav_filename,wav_filesize,transcript
fb81ab2def4ca2cdc4adf1758bc03a9b.wav,380847,Upali LED žarulju
747fdab3897f8e8fea2ae9563ddae8f2.wav,363913,Upali LED žarulje
4ab96362a9e1e514860c8b19787051a8.wav,317343,Upali ledicu
137a51d3e254dce5d1ee79ba212fcb8a.wav,309229,Upali ledice
ced119b3326e3d85605eec0c25b07889.wav,448056,Uključi LED žarulju
3a1a993421b10507b989507845fef409.wav,375555,Uključi LED žarulje
fad3fed74d00fbace15f2e8f1cbe96c8.wav,388785,Uključi ledicu
679289cc2b96ddcf5b40f1a4c24dd7b0.wav,337100,Uključi ledice
6f0bd4fbb0a19a5445b760705c3f4460.wav,433414,Isključi LED žarulju
947ac0c05b94adb88aa4833f2ab99e34.wav,488451,Isključi LED žarulje
d05ff68e9d56bbb9f016fce62689de31.wav,361972,Isključi ledicu
b0d6c940c2390425682490e8aa5bfc76.wav,405190,Isključi ledice
895879278caa2bcb2da694aec546babd.wav,447174,Ugasi LED žarulju
1e1d6fa432f69eebb6fbfbdb735dd3c5.wav,388256,Ugasi LED žarulje
f999303cc237ad723a2b1e1797cad25e.wav,361443,Ugasi ledicu
20ae9f16993e8e415c658df58f68f21d.wav,386492,Ugasi ledice
149c98f41f98a72fba876fe36b29bb9a.wav,432532,Priguši LED žarulju
5f935668bc00891e3bc3e85e1a209344.wav,447526,Priguši LED žarulje
c63d2a3434b80dddc27c04954f1bc929.wav,450878,Pojačaj LED žarulje
